City_ID,City,Country,Max Temp,Current Decription,Lat,Lng,Hotel Name
169,Soni,TZ,58.73,broken clouds,-4.85,38.3667,Maweni Farm Hotel & Camping
170,Linqiong,CN,85.82,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
171,Pacific Grove,US,75.2,clear sky,36.6177,-121.9166,Lovers Point Inn
172,Severo-Kurilsk,RU,54.23,overcast clouds,50.6789,156.125,Kak Doma
173,Lake Charles,US,89.58,broken clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
174,Altay,CN,70.93,overcast clouds,47.8667,88.1167,Jinqiao Hotel
175,Sobolevo,RU,60.66,scattered clouds,54.4299,31.8996,
176,Dekar,BW,65.5,clear sky,-21.5333,21.9333,
177,Luba,GQ,78.69,light rain,3.4568,8.5547,
179,Bonthe,SL,77.4,moderate rain,7.5264,-12.505,Bonthe Holiday Village
180,Marsa Matruh,EG,82.6,few clouds,31.3525,27.2453,Beau Site
182,Meridian,US,78.58,haze,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
183,Saint-Philippe,RE,65.79,broken clouds,-21.3585,55.7679,Le four à pain
186,Pasarkemis,ID,80.47,few clouds,-6.1703,106.5303,Hotel Kost Mama
189,Sept-Iles,CA,66.06,clear sky,50.2001,-66.3821,Comfort Inn
190,Belmonte,BR,77.81,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
191,Namie,JP,81.72,overcast clouds,37.4833,141.0,いこいの村なみえ
194,Jamestown,US,78.03,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
195,Srednekolymsk,RU,57.85,clear sky,67.45,153.6833,
196,Sabang,ID,82.31,overcast clouds,5.8933,95.3214,Hotel Citra
197,Cherskiy,RU,52.43,clear sky,68.75,161.3,Gostinitsa
199,Hurricane,US,89.33,broken clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
200,Noumea,NC,69.01,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
202,Nautla,MX,88.93,broken clouds,20.2167,-96.7833,Casa Blanca
203,Banda Aceh,ID,79.11,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
204,Sur,OM,86.94,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
205,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
206,Ewo,CG,84.83,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
208,Nantucket,US,78.91,overcast clouds,41.2835,-70.0995,Jared Coffin House
209,Sehithwa,BW,67.19,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
210,Tomatlan,MX,89.83,overcast clouds,19.9333,-105.25,El Salvial
212,Flin Flon,CA,69.71,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
214,Nevsehir,TR,81.61,clear sky,38.9167,34.6667,
215,Zhezkazgan,KZ,67.48,broken clouds,47.8043,67.7144,Hotel Zumrat
216,Brae,GB,57.51,overcast clouds,60.3964,-1.353,Busta House Hotel
217,Raudeberg,NO,63.95,overcast clouds,61.9875,5.1352,Nordre Silda.
218,Borogontsy,RU,56.03,overcast clouds,62.6683,131.1683,
221,Portland,US,69.28,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
223,Keflavik,IS,50.43,broken clouds,64.0049,-22.5624,Hotel Keflavik
224,Senges,BR,53.31,light rain,-24.1128,-49.4636,Centro de Lazer Bela VIsta
225,Imbituba,BR,59.86,light rain,-28.24,-48.6703,Praia Hotel Imbituba
226,Cayenne,GF,87.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
227,Grindavik,IS,50.47,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
228,Aksu,CN,76.24,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
229,Tripoli,LY,83.03,clear sky,32.8752,13.1875,Al Waddan Hotel
230,Vandalur,IN,87.58,few clouds,12.8928,80.0808,GST Grand Vandalur
231,Agadir,MA,77.45,clear sky,30.4202,-9.5982,Iberostar Founty Beach
232,Mulanur,IN,79.2,overcast clouds,10.7667,77.7167,ARUVI RESIDENCY (AC)
233,Palmer,US,85.24,broken clouds,42.1584,-72.3287,Wedgewood Motel
234,Katherine,AU,75.52,clear sky,-14.4667,132.2667,Pine Tree Motel
235,Niihama,JP,80.2,overcast clouds,33.9593,133.3167,スーパーホテル新居浜
236,Mattru,SL,76.28,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
237,San Juan Bautista,PE,78.96,clear sky,-14.0108,-75.7358,Hotel Las Dunas
238,Mount Abu,IN,72.0,overcast clouds,24.6,72.7,Hotel Oasis
239,Ipoti,NG,71.76,light rain,7.8738,5.0769,"Hotel Saint Abigail Hall n Suites, Ipoti-Ekiti"
240,Yabrud,SY,72.88,clear sky,33.9674,36.6574,صالة افراح الاندلس
241,Mahanoro,MG,66.51,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
242,Jeremie,HT,85.66,few clouds,18.65,-74.1167,Auberge’Inn
245,Tromso,NO,56.37,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
246,Amapa,BR,87.08,broken clouds,1.0,-52.0,
247,Cruzilia,BR,53.08,overcast clouds,-21.8386,-44.8083,Pousada Cruzília
249,Caxito,AO,70.23,clear sky,-8.5785,13.6643,
250,Teruel,ES,78.28,scattered clouds,40.6667,-0.6667,La Parra
251,Dicabisagan,PH,78.42,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
252,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,hotel la terminal
